label,text
Myasthenia Gravis,The drooping eyelids is affecting my daily life significantly.
Parkinson's Disease,The stiffness is affecting my daily life significantly.
Peptic Ulcer Disease,The pain is affecting my daily life significantly.
Dengue,I've seen signs of fever along with fatigue.
Arthritis,My doctor mentioned that my fever could be related to Arthritis.
Fungal Infection,The cough is affecting my daily life significantly.
Hiv/Aids,"There is a persistent issue with cough, and I'm concerned."
Lupus,"I've been having butterfly rash, and it's been getting worse."
Impetigo,I have rash and also noticed related problems recently.
Cystic Fibrosis,"Lately, I noticed digestive issues, which is unusual for me."
Chronic Kidney Disease,There’s been some sexual dysfunction that wasn’t a problem before
Meniere's Disease,"Lately, I noticed tinnitus, which is unusual for me."
Common Cold,The cough is affecting my daily life significantly.
Cushing's Syndrome,I have weight gain and also noticed related problems recently.
Urinary Tract Infection,"Whenever I rest, the fever seems to intensify."
Varicose Veins,My legs are causing a lot of discomforts when I exercise. I get frequent cramps and the blood vessels have become quite noticeable.
Chicken Pox,My doctor mentioned that my fatigue could be related to Chicken Pox.
Impetigo,"There are sores on my face and mostly near my nose and lips. The sores are causing discomfort or pain, and there is a discharge of yellow or rust-colored fluid from them."
Meniere's Disease,"I've been having hearing loss, and it's been getting worse."
Fungal Infection,"Lately, I noticed fatigue, which is unusual for me."
ALS,My doctor mentioned that my muscle cramps could be related to ALS.
Pneumonia,I've seen signs of fever along with fatigue.
Varicose Veins,"The prominent veins on my calves are causing self-consciousness and embarrassment. They are swollen and protrude from my skin, making them very noticeable."
Ehlers-Danlos Syndrome,I'm feeling discomfort due to chronic pain.
Allergy,The fatigue is affecting my daily life significantly.
Urinary Tract Infection,I'm feeling discomfort due to pain.
Endometriosis,The painful periods is affecting my daily life significantly.
Impetigo,The fatigue is affecting my daily life significantly.
Meniere's Disease,The nausea is affecting my daily life significantly.
Meniere's Disease,"It started with vertigo, but now it's spreading."
Bronchial Asthma,"Whenever I rest, the fever seems to intensify."
Myasthenia Gravis,I've seen signs of difficulty swallowing along with fatigue.
Ehlers-Danlos Syndrome,"Whenever I rest, the fatigue seems to intensify."
Lupus,I've seen signs of fatigue along with fatigue.
Peptic Ulcer Disease,"I've lost a lot of stuff because of my bloody stools, including iron and bloos. As a result, I now have anaemia and generally feel rather weak."
Common Cold,"I've had a terrible cough and cold for days. My face is tired and my sinuses are blocked. In addition, my chest hurts from the phlegm I've been coughing up. I can't smell, and my muscles are in terrible pain."
Jaundice,"There is a persistent issue with pain, and I'm concerned."
Chicken Pox,I've seen signs of fatigue along with fatigue.
Allergy,I'm feeling discomfort due to fever.
Ehlers-Danlos Syndrome,"There is a persistent issue with chronic pain, and I'm concerned."
Malaria,I have rash and also noticed related problems recently.
Diphtheria,I feel like something is stuck in my throat constantly
Multiple Sclerosis,"Whenever I rest, the balance problems seems to intensify."
Drug Reaction,"When I have a temperature, I feel pretty nauseous and lightheaded. My heart is pounding, and my mind is absolutely foggy. Everything feels a little hazy to me, and I'm having difficulties thinking clearly."
Parkinson's Disease,"There is a persistent issue with speech changes, and I'm concerned."
Ebola Virus,I have an intense burning sensation in my throat
Migraine,The visual disturbances is affecting my daily life significantly.
Allergy,"My skin is irritated and inflamed. Sometimes, they can flake. My lips and cheeks expand, and it is really unpleasant. Because of the puffing, I occasionally have headaches and wet eyes."
Dengue,"I have been vomiting frequently and have lost my appetite as a result. There are rashes on my skin and my eyes pain, because of which I cannot sleep properly."
Chronic Kidney Disease,My mouth feels dry and I’m always thirsty
Pneumonia,"Whenever I rest, the fatigue seems to intensify."
Malaria,"Along with a high fever, I've had chills, vomiting, and severe itching. Along with my headache and excessive sweating, I've been feeling awful with nausea and muscle ache."
Parkinson's Disease,"Lately, I noticed slowed movement, which is unusual for me."
Cystic Fibrosis,"Lately, I noticed lung infections, which is unusual for me."
Varicose Veins,"The veins in my legs are causing discomfort and difficulty sleeping at night. They are swollen and protruding from my skin, making them noticeable and painful."
Bronchial Asthma,"I've been having fatigue, and it's been getting worse."
Bronchial Asthma,"feeling extremely exhausted and have had this persistent cough. It's been hard for me to catch my breath, and my fever is very high. I've also been producing a lot of mucus when I cough"
Parkinson's Disease,I'm feeling discomfort due to speech changes.
Cushing's Syndrome,My doctor mentioned that my purple stretch marks could be related to Cushing's Syndrome.
Migraine,"There is a persistent issue with nausea, and I'm concerned."
Pneumonia,"I'm dripping with perspiration and can't seem to catch my breath. My throat is filled with a lot of phlegm, and I feel awful. My heart is pounding, and my chest aches. I'm coughing up brownish mucous."
Sarcoidosis,"Lately, I noticed skin lesions, which is unusual for me."
Arthritis,My doctor mentioned that my fever could be related to Arthritis.
Ebola Virus,"Whenever I rest, the cough seems to intensify."
Hiv/Aids,I’m scared because my immune system feels weak.
Graves' Disease,"Whenever I rest, the goiter seems to intensify."
Crohn's Disease,"There is a persistent issue with fatigue, and I'm concerned."
Jaundice,"I've been feeling extremely scratchy, sick, and worn out. In addition, I've lost weight and have a temperature. My urine is dark, and my skin has turned yellow. Additionally, I have been experiencing stomach pain."
Arthritis,"My muscles have been feeling really weak, and my neck has been extremely tight. I've been experiencing a lot of stiffness when I walk about and my joints have been swollen. Walking has also been really uncomfortable."
Bronchial Asthma,"I've felt terribly weak and drained, and I've also had a cough that that won't go away. My fever has been exceptionally high, and it has been challenging to try to catch my breath. I've been creating a lot of mucous when I cough."
Pneumonia,I'm feeling discomfort due to fever.
Arthritis,"Lately, I've been having stiffness and weakness in my neck muscles. Since my joints have matured, it is difficult for the American state to operate without becoming stiff. Furthermore, walking has been quite painful."
Acne,"I recently experienced a severe skin rash. Blackheads and pimples filled with pus are clogging it. Additionally, my skin has been quite irritated."
Malaria,"I have a high fever, chills, and severe itching. I have a headache and am also perspiring a lot. I've been bothered by nausea as well as muscle ache."
Gastroesophageal Reflux Disease,"There is a persistent issue with rash, and I'm concerned."
Varicose Veins,"I've been having pain, and it's been getting worse."
Lupus,"I've been having fatigue, and it's been getting worse."
Gastroesophageal Reflux Disease,"Lately, I noticed fever, which is unusual for me."
Impetigo,"I have also been experiencing flu-like symptoms, such as fever and body pain. I have noticed red rashes and blistering sores near my nose and lips. It's itchy and uncomfortable."
Peptic Ulcer Disease,"Lately, I noticed rash, which is unusual for me."
Impetigo,"I've been having rash, and it's been getting worse."
Peptic Ulcer Disease,"My mouth is filled with an acidic, sour flavour. Burping and belching are frequent in me. For a few hours, my upper abdomen has felt pressured or full."
Impetigo,There are red sores on my face and near my nose. I have noticed that the rash is spreading more quickly on my neck and chest.
Acute Lymphoblastic Leukaemia,"Lately, I noticed rash, which is unusual for me."
Sjogren's Syndrome,"Whenever I rest, the dry eyes seems to intensify."
Hiv/Aids,"Whenever I rest, the rash seems to intensify."
Acne,I've been having a really bad rash on my skin lately. It's full of pus-filled pimples and blackheads. My skin has also been scurring a lot.
